antecedent,consequent,support,confidence,lift
packet_rate_low AND service_smtp AND state_fin,bytes_per_packet_high AND outbound_dominance_ratio_medium,0.013055,0.921498,5.670737
packet_rate_low AND proto_tcp AND service_smtp AND state_fin,bytes_per_packet_high AND outbound_dominance_ratio_medium,0.013055,0.921498,5.670737
packet_rate_low AND service_smtp,bytes_per_packet_high AND outbound_dominance_ratio_medium,0.01306,0.920788,5.666371
packet_rate_low AND proto_tcp AND service_smtp,bytes_per_packet_high AND outbound_dominance_ratio_medium,0.01306,0.920788,5.666371
outbound_dominance_ratio_low AND packet_asymmetry_low AND state_con,packet_rate_medium AND proto_udp,0.042871,0.951519,5.663667
bytes_per_packet_medium AND service_dns,packet_rate_medium AND proto_udp,0.042888,0.951417,5.66306
packet_asymmetry_low AND packet_rate_medium AND proto_tcp AND service_-,bytes_per_packet_medium AND outbound_dominance_ratio_low AND state_fin,0.081858,0.880066,5.660737
packet_asymmetry_low AND packet_rate_medium AND service_- AND state_fin,bytes_per_packet_medium AND outbound_dominance_ratio_low AND proto_tcp,0.081858,0.880066,5.659284
proto_ospf AND service_-,outbound_dominance_ratio_medium AND packet_rate_low,0.013665,0.923314,5.650582
packet_asymmetry_medium AND proto_ospf,outbound_dominance_ratio_medium AND packet_rate_low,0.013665,0.923314,5.650582
proto_ospf,outbound_dominance_ratio_medium AND packet_rate_low,0.013665,0.923314,5.650582
packet_asymmetry_medium AND proto_ospf AND service_-,outbound_dominance_ratio_medium AND packet_rate_low,0.013665,0.923314,5.650582
bytes_per_packet_medium AND packet_asymmetry_low AND packet_rate_medium AND proto_tcp,outbound_dominance_ratio_low AND service_- AND state_fin,0.081858,0.934927,5.647926
bytes_per_packet_high AND outbound_dominance_ratio_medium AND packet_rate_medium AND proto_tcp,packet_asymmetry_medium AND state_fin,0.027421,0.777868,5.645134
bytes_per_packet_low AND packet_asymmetry_low AND service_-,outbound_dominance_ratio_low AND packet_rate_low AND proto_tcp,0.038673,0.941936,5.643797
bytes_per_packet_medium AND packet_asymmetry_low AND packet_rate_medium AND state_fin,outbound_dominance_ratio_low AND proto_tcp AND service_-,0.081858,0.934927,5.643259
packet_asymmetry_medium AND packet_rate_low AND service_http,outbound_dominance_ratio_medium AND proto_tcp,0.017486,0.951583,5.642403
bytes_per_packet_medium AND packet_asymmetry_medium AND service_http,outbound_dominance_ratio_medium AND proto_tcp,0.01322,0.95156,5.642267
bytes_per_packet_medium AND packet_asymmetry_medium AND service_http AND state_fin,outbound_dominance_ratio_medium AND proto_tcp,0.01322,0.95156,5.642267
packet_asymmetry_medium AND packet_rate_low AND service_http AND state_fin,outbound_dominance_ratio_medium AND proto_tcp,0.017452,0.951493,5.641867
bytes_per_packet_low AND packet_asymmetry_low AND service_-,outbound_dominance_ratio_low AND packet_rate_low AND proto_tcp AND state_fin,0.038571,0.939436,5.640959
bytes_per_packet_low AND packet_asymmetry_low AND service_-,outbound_dominance_ratio_low AND packet_rate_low AND state_fin,0.038571,0.939436,5.640959
bytes_per_packet_low AND packet_asymmetry_low AND proto_tcp AND service_-,outbound_dominance_ratio_low AND packet_rate_low,0.038673,0.957498,5.634603
bytes_per_packet_low AND packet_asymmetry_low AND service_- AND state_fin,outbound_dominance_ratio_low AND packet_rate_low,0.038571,0.95739,5.633966
bytes_per_packet_low AND packet_asymmetry_low AND proto_tcp AND service_- AND state_fin,outbound_dominance_ratio_low AND packet_rate_low,0.038571,0.95739,5.633966
bytes_per_packet_high AND packet_asymmetry_medium AND state_fin,outbound_dominance_ratio_medium AND proto_tcp,0.069425,0.944595,5.60097
bytes_per_packet_low AND packet_asymmetry_low AND service_-,outbound_dominance_ratio_low AND packet_rate_low,0.039067,0.951521,5.599431
outbound_dominance_ratio_medium AND packet_rate_medium AND state_fin,packet_asymmetry_medium AND proto_tcp,0.034498,0.83423,5.577256
bytes_per_packet_high AND packet_rate_low AND service_smtp,outbound_dominance_ratio_medium AND proto_tcp,0.01306,0.940452,5.576401
bytes_per_packet_high AND packet_rate_low AND service_smtp AND state_fin,outbound_dominance_ratio_medium AND proto_tcp,0.013055,0.940427,5.576256
bytes_per_packet_medium AND packet_rate_medium AND proto_tcp,outbound_dominance_ratio_low AND packet_asymmetry_low AND service_- AND state_fin,0.081858,0.837496,5.576128
bytes_per_packet_medium AND packet_rate_medium AND state_fin,outbound_dominance_ratio_low AND packet_asymmetry_low AND proto_tcp AND service_-,0.081858,0.837496,5.571051
bytes_per_packet_high AND packet_asymmetry_medium AND packet_rate_low AND proto_tcp,outbound_dominance_ratio_medium AND state_fin,0.042004,0.873251,5.56525
outbound_dominance_ratio_medium AND packet_asymmetry_medium AND packet_rate_medium AND state_fin,bytes_per_packet_high AND proto_tcp,0.027421,0.794842,5.555404
bytes_per_packet_medium AND packet_asymmetry_low AND packet_rate_medium AND state_fin,outbound_dominance_ratio_low AND service_-,0.081858,0.934927,5.555101
bytes_per_packet_medium AND packet_asymmetry_low AND packet_rate_medium AND proto_tcp AND state_fin,outbound_dominance_ratio_low AND service_-,0.081858,0.934927,5.555101
bytes_per_packet_medium AND packet_asymmetry_low AND packet_rate_medium AND proto_tcp,outbound_dominance_ratio_low AND service_-,0.081858,0.934927,5.555101
bytes_per_packet_low AND outbound_dominance_ratio_medium AND proto_tcp,packet_asymmetry_medium AND state_fin,0.017343,0.764839,5.550583
bytes_per_packet_high AND packet_asymmetry_medium AND proto_tcp,outbound_dominance_ratio_medium AND state_fin,0.069425,0.869065,5.538575
bytes_per_packet_low AND outbound_dominance_ratio_medium AND packet_asymmetry_medium AND state_fin,packet_rate_low AND proto_tcp AND service_-,0.014566,0.839855,5.530724
bytes_per_packet_low AND outbound_dominance_ratio_medium AND state_fin,packet_rate_low AND proto_tcp AND service_-,0.014566,0.839855,5.530724
packet_asymmetry_low AND service_- AND state_con,bytes_per_packet_high AND outbound_dominance_ratio_medium,0.020212,0.89858,5.529707
bytes_per_packet_medium AND packet_rate_medium AND proto_tcp AND state_fin,outbound_dominance_ratio_low AND packet_asymmetry_low AND service_-,0.081858,0.837496,5.521614
bytes_per_packet_medium AND packet_rate_medium AND proto_tcp,outbound_dominance_ratio_low AND packet_asymmetry_low AND service_-,0.081858,0.837496,5.521614
bytes_per_packet_medium AND packet_rate_medium AND state_fin,outbound_dominance_ratio_low AND packet_asymmetry_low AND service_-,0.081858,0.837496,5.521614
outbound_dominance_ratio_medium AND packet_asymmetry_medium AND packet_rate_medium AND proto_tcp,bytes_per_packet_high AND state_fin,0.027421,0.754551,5.521168
bytes_per_packet_low AND packet_asymmetry_medium AND state_fin,packet_rate_low AND proto_tcp AND service_-,0.017292,0.837569,5.515669
outbound_dominance_ratio_low AND state_con,packet_rate_medium AND proto_udp,0.042871,0.925169,5.506827
outbound_dominance_ratio_medium AND proto_tcp AND service_http,packet_asymmetry_medium AND state_fin,0.027518,0.758767,5.506518
outbound_dominance_ratio_medium AND service_http,packet_asymmetry_medium AND proto_tcp AND state_fin,0.027518,0.758767,5.506518
outbound_dominance_ratio_medium AND service_http,packet_asymmetry_medium AND state_fin,0.027518,0.758767,5.506518
bytes_per_packet_high AND packet_asymmetry_medium AND packet_rate_medium AND proto_tcp,outbound_dominance_ratio_medium AND state_fin,0.027421,0.862731,5.498205
bytes_per_packet_medium AND outbound_dominance_ratio_low AND service_dns,packet_asymmetry_low AND packet_rate_medium,0.042637,0.98654,5.49076
bytes_per_packet_medium AND proto_udp AND service_dns AND state_con,packet_asymmetry_low AND packet_rate_medium,0.042637,0.98654,5.49076
bytes_per_packet_medium AND outbound_dominance_ratio_low AND proto_udp AND service_dns AND state_con,packet_asymmetry_low AND packet_rate_medium,0.042637,0.98654,5.49076
bytes_per_packet_medium AND outbound_dominance_ratio_low AND service_dns AND state_con,packet_asymmetry_low AND packet_rate_medium,0.042637,0.98654,5.49076
bytes_per_packet_medium AND outbound_dominance_ratio_low AND proto_udp AND service_dns,packet_asymmetry_low AND packet_rate_medium,0.042637,0.98654,5.49076
bytes_per_packet_medium AND service_dns AND state_con,packet_asymmetry_low AND packet_rate_medium,0.042637,0.98654,5.49076
outbound_dominance_ratio_low AND service_dns AND state_con,packet_asymmetry_low AND packet_rate_medium,0.04266,0.985248,5.483567
outbound_dominance_ratio_low AND proto_udp AND service_dns,packet_asymmetry_low AND packet_rate_medium,0.04266,0.985248,5.483567
outbound_dominance_ratio_low AND proto_udp AND service_dns AND state_con,packet_asymmetry_low AND packet_rate_medium,0.04266,0.985248,5.483567
proto_udp AND service_dns AND state_con,packet_asymmetry_low AND packet_rate_medium,0.04266,0.985248,5.483567
service_dns AND state_con,packet_asymmetry_low AND packet_rate_medium,0.04266,0.985248,5.483567
packet_rate_low AND service_smtp AND state_fin,outbound_dominance_ratio_medium AND proto_tcp,0.013077,0.923108,5.473561
outbound_dominance_ratio_medium AND packet_rate_medium AND service_- AND state_fin,packet_asymmetry_medium AND proto_tcp,0.010346,0.818223,5.470241
packet_rate_low AND service_smtp,outbound_dominance_ratio_medium AND proto_tcp,0.013083,0.922396,5.469342
outbound_dominance_ratio_low AND service_dns,packet_asymmetry_low AND packet_rate_medium,0.042671,0.981632,5.463445
bytes_per_packet_medium AND outbound_dominance_ratio_low AND proto_udp AND state_con,packet_asymmetry_low AND packet_rate_medium,0.042734,0.980888,5.459301
bytes_per_packet_medium AND outbound_dominance_ratio_low AND proto_udp,packet_asymmetry_low AND packet_rate_medium,0.042734,0.980888,5.459301
bytes_per_packet_medium AND proto_udp AND state_con,packet_asymmetry_low AND packet_rate_medium,0.042734,0.980888,5.459301
outbound_dominance_ratio_low AND packet_rate_medium AND proto_tcp AND service_-,bytes_per_packet_medium AND packet_asymmetry_low AND state_fin,0.081858,0.858176,5.458465
outbound_dominance_ratio_low AND packet_rate_medium AND service_- AND state_fin,bytes_per_packet_medium AND packet_asymmetry_low AND proto_tcp,0.081858,0.858176,5.457079
bytes_per_packet_medium AND outbound_dominance_ratio_low AND state_con,packet_asymmetry_low AND packet_rate_medium,0.042734,0.97999,5.454302
bytes_per_packet_high AND outbound_dominance_ratio_medium AND service_http,packet_asymmetry_medium AND proto_tcp,0.012906,0.814322,5.44416
outbound_dominance_ratio_low AND packet_rate_medium AND service_-,bytes_per_packet_medium AND packet_asymmetry_low AND proto_tcp AND state_fin,0.081858,0.855669,5.44252
outbound_dominance_ratio_low AND packet_rate_medium AND service_-,bytes_per_packet_medium AND packet_asymmetry_low AND state_fin,0.081858,0.855669,5.44252
outbound_dominance_ratio_low AND packet_rate_medium AND service_-,bytes_per_packet_medium AND packet_asymmetry_low AND proto_tcp,0.081858,0.855669,5.441138
bytes_per_packet_high AND outbound_dominance_ratio_medium AND service_http AND state_fin,packet_asymmetry_medium AND proto_tcp,0.012866,0.813853,5.441025
packet_asymmetry_low AND state_con,packet_rate_medium AND proto_udp,0.060385,0.914019,5.44046
bytes_per_packet_low AND outbound_dominance_ratio_medium AND proto_tcp AND service_-,packet_asymmetry_medium AND state_fin,0.015832,0.748854,5.434573
service_- AND state_con,bytes_per_packet_high AND outbound_dominance_ratio_medium,0.027267,0.878699,5.40736
outbound_dominance_ratio_low AND proto_udp,packet_asymmetry_low AND packet_rate_medium,0.042871,0.968436,5.389999
outbound_dominance_ratio_low AND proto_udp AND state_con,packet_asymmetry_low AND packet_rate_medium,0.042871,0.968436,5.389999
bytes_per_packet_medium AND state_con,packet_asymmetry_low AND packet_rate_medium,0.042734,0.967338,5.383888
bytes_per_packet_high AND packet_rate_low AND service_- AND state_fin,outbound_dominance_ratio_medium AND proto_tcp,0.034054,0.905383,5.36846
packet_rate_medium AND service_dns AND state_con,bytes_per_packet_medium AND outbound_dominance_ratio_low AND packet_asymmetry_low,0.042637,0.999465,5.367614
packet_rate_medium AND proto_udp AND service_dns AND state_con,bytes_per_packet_medium AND outbound_dominance_ratio_low AND packet_asymmetry_low,0.042637,0.999465,5.367614
proto_udp AND service_dns AND state_con,bytes_per_packet_medium AND outbound_dominance_ratio_low AND packet_asymmetry_low,0.043219,0.998156,5.360583
service_dns AND state_con,bytes_per_packet_medium AND outbound_dominance_ratio_low AND packet_asymmetry_low,0.043219,0.998156,5.360583
bytes_per_packet_high AND outbound_dominance_ratio_medium AND packet_rate_medium AND state_fin,packet_asymmetry_medium AND proto_tcp,0.027421,0.8,5.348412
bytes_per_packet_medium AND packet_rate_medium AND proto_tcp,outbound_dominance_ratio_low AND service_- AND state_fin,0.086363,0.883592,5.337809
bytes_per_packet_medium AND packet_rate_medium AND state_fin,outbound_dominance_ratio_low AND proto_tcp AND service_-,0.086363,0.883592,5.333399
bytes_per_packet_high AND packet_asymmetry_medium AND proto_tcp AND service_-,outbound_dominance_ratio_medium AND state_fin,0.032628,0.834939,5.321084
packet_rate_medium AND service_- AND state_fin,bytes_per_packet_medium AND outbound_dominance_ratio_low AND packet_asymmetry_low AND proto_tcp,0.081858,0.757734,5.31235
packet_rate_medium AND proto_unas AND state_int,bytes_per_packet_medium AND outbound_dominance_ratio_medium AND packet_asymmetry_medium AND service_-,0.030215,1.0,5.294912
packet_rate_medium AND proto_unas,bytes_per_packet_medium AND outbound_dominance_ratio_medium AND packet_asymmetry_medium AND service_-,0.030215,1.0,5.294912
packet_rate_high AND proto_unas AND state_int,bytes_per_packet_medium AND outbound_dominance_ratio_medium AND packet_asymmetry_medium AND service_-,0.038582,1.0,5.294912
proto_unas,bytes_per_packet_medium AND outbound_dominance_ratio_medium AND packet_asymmetry_medium AND service_-,0.068917,1.0,5.294912
packet_rate_high AND proto_unas,bytes_per_packet_medium AND outbound_dominance_ratio_medium AND packet_asymmetry_medium AND service_-,0.038582,1.0,5.294912
proto_unas AND state_int,bytes_per_packet_medium AND outbound_dominance_ratio_medium AND packet_asymmetry_medium AND service_-,0.068917,1.0,5.294912
outbound_dominance_ratio_medium AND packet_rate_medium AND proto_tcp AND service_-,bytes_per_packet_high AND state_fin,0.010266,0.722892,5.28951
outbound_dominance_ratio_medium AND packet_rate_medium AND proto_tcp AND service_-,packet_asymmetry_medium AND state_fin,0.010346,0.728514,5.286966
outbound_dominance_ratio_low AND packet_asymmetry_low AND packet_rate_medium AND proto_tcp,bytes_per_packet_medium AND service_- AND state_fin,0.081858,0.728357,5.27927
outbound_dominance_ratio_low AND packet_asymmetry_low AND packet_rate_medium AND state_fin,bytes_per_packet_medium AND proto_tcp AND service_-,0.081858,0.728357,5.278179
bytes_per_packet_high AND packet_asymmetry_medium AND packet_rate_medium AND state_fin,outbound_dominance_ratio_medium AND proto_tcp,0.027421,0.890041,5.277489
bytes_per_packet_medium AND proto_udp AND service_dns,packet_asymmetry_low AND packet_rate_medium,0.042637,0.946569,5.268293
bytes_per_packet_medium AND service_dns,packet_asymmetry_low AND packet_rate_medium,0.042637,0.94585,5.264294
bytes_per_packet_medium AND packet_rate_medium AND proto_tcp,outbound_dominance_ratio_low AND service_-,0.086363,0.883592,5.250082
bytes_per_packet_medium AND packet_rate_medium AND proto_tcp AND state_fin,outbound_dominance_ratio_low AND service_-,0.086363,0.883592,5.250082
bytes_per_packet_medium AND packet_rate_medium AND state_fin,outbound_dominance_ratio_low AND service_-,0.086363,0.883592,5.250082
packet_rate_medium AND proto_tcp AND service_-,bytes_per_packet_medium AND outbound_dominance_ratio_low AND packet_asymmetry_low AND state_fin,0.081858,0.746969,5.23834
packet_asymmetry_medium AND proto_arp AND state_int,packet_rate_low AND service_-,0.015792,1.0,5.210264
outbound_dominance_ratio_medium AND packet_asymmetry_medium AND proto_arp AND state_int,packet_rate_low AND service_-,0.015792,1.0,5.210264
outbound_dominance_ratio_medium AND packet_asymmetry_medium AND proto_arp,packet_rate_low AND service_-,0.015792,1.0,5.210264
bytes_per_packet_low AND packet_asymmetry_medium AND proto_arp,packet_rate_low AND service_-,0.015792,1.0,5.210264
bytes_per_packet_low AND outbound_dominance_ratio_medium AND packet_asymmetry_medium AND proto_arp AND state_int,packet_rate_low AND service_-,0.015792,1.0,5.210264
bytes_per_packet_low AND outbound_dominance_ratio_medium AND packet_asymmetry_medium AND proto_arp,packet_rate_low AND service_-,0.015792,1.0,5.210264
packet_asymmetry_medium AND proto_arp,packet_rate_low AND service_-,0.015792,1.0,5.210264
outbound_dominance_ratio_medium AND proto_arp AND state_int,packet_rate_low AND service_-,0.015792,1.0,5.210264
bytes_per_packet_low AND outbound_dominance_ratio_medium AND proto_arp AND state_int,packet_rate_low AND service_-,0.015792,1.0,5.210264
bytes_per_packet_low AND packet_asymmetry_medium AND proto_arp AND state_int,packet_rate_low AND service_-,0.015792,1.0,5.210264
bytes_per_packet_low AND proto_arp AND state_int,packet_rate_low AND service_-,0.015792,1.0,5.210264
proto_arp AND state_int,packet_rate_low AND service_-,0.015792,1.0,5.210264
bytes_per_packet_medium AND outbound_dominance_ratio_low AND packet_rate_medium AND proto_tcp,packet_asymmetry_low AND service_- AND state_fin,0.081858,0.889116,5.208596
bytes_per_packet_medium AND outbound_dominance_ratio_low AND packet_rate_medium AND state_fin,packet_asymmetry_low AND proto_tcp AND service_-,0.081858,0.889116,5.204076
outbound_dominance_ratio_low AND packet_rate_medium AND proto_tcp,bytes_per_packet_medium AND service_- AND state_fin,0.086363,0.717304,5.199155
outbound_dominance_ratio_low AND packet_rate_medium AND state_fin,bytes_per_packet_medium AND proto_tcp AND service_-,0.086363,0.717304,5.198081
bytes_per_packet_low AND proto_arp,packet_rate_low AND service_-,0.01626,0.997202,5.195684
proto_arp,packet_rate_low AND service_-,0.01626,0.997202,5.195684
outbound_dominance_ratio_medium AND proto_arp,packet_rate_low AND service_-,0.01598,0.997153,5.19543
bytes_per_packet_low AND outbound_dominance_ratio_medium AND proto_arp,packet_rate_low AND service_-,0.01598,0.997153,5.19543
proto_udp AND state_con,packet_asymmetry_low AND packet_rate_medium,0.060385,0.932863,5.192014
bytes_per_packet_high AND packet_asymmetry_medium AND packet_rate_low AND proto_tcp AND service_-,outbound_dominance_ratio_medium AND state_fin,0.024661,0.812324,5.176959
bytes_per_packet_high AND outbound_dominance_ratio_medium AND packet_rate_medium AND proto_udp AND state_con,packet_asymmetry_low AND service_-,0.017514,1.0,5.176118
packet_asymmetry_medium AND packet_rate_low AND state_fin,outbound_dominance_ratio_medium AND proto_tcp,0.08305,0.871611,5.168208
bytes_per_packet_high AND outbound_dominance_ratio_medium AND packet_asymmetry_low AND state_con,packet_rate_medium AND proto_udp,0.017514,0.866535,5.157822
bytes_per_packet_high AND outbound_dominance_ratio_medium AND packet_asymmetry_low AND service_- AND state_con,packet_rate_medium AND proto_udp,0.017514,0.866535,5.157822
bytes_per_packet_high AND packet_rate_medium AND proto_udp AND state_con,packet_asymmetry_low AND service_-,0.017526,0.996433,5.157656
outbound_dominance_ratio_medium AND packet_rate_medium AND proto_udp AND state_con,packet_asymmetry_low AND service_-,0.017514,0.995462,5.152628
outbound_dominance_ratio_low AND state_con,packet_asymmetry_low AND packet_rate_medium,0.042871,0.925169,5.149191
bytes_per_packet_high AND outbound_dominance_ratio_medium AND proto_udp AND state_con,packet_asymmetry_low AND service_-,0.020201,0.994385,5.147055
packet_rate_medium AND service_- AND state_fin,bytes_per_packet_medium AND outbound_dominance_ratio_low AND proto_tcp,0.086363,0.79944,5.140818
packet_asymmetry_medium AND packet_rate_low AND proto_tcp,outbound_dominance_ratio_medium AND state_fin,0.08305,0.805287,5.132111
bytes_per_packet_high AND proto_udp AND state_con,packet_asymmetry_low AND service_-,0.020543,0.988474,5.116459
outbound_dominance_ratio_medium AND proto_udp AND state_con,packet_asymmetry_low AND service_-,0.020201,0.987179,5.109758
outbound_dominance_ratio_medium AND service_- AND state_fin,packet_asymmetry_medium AND proto_tcp,0.065951,0.762797,5.09969
bytes_per_packet_low AND packet_asymmetry_low AND state_fin,outbound_dominance_ratio_low AND packet_rate_low AND proto_tcp,0.072875,0.850676,5.096991
bytes_per_packet_low AND packet_asymmetry_low AND proto_tcp,outbound_dominance_ratio_low AND packet_rate_low AND state_fin,0.072875,0.848191,5.093068
bytes_per_packet_medium AND outbound_dominance_ratio_low AND packet_asymmetry_low AND proto_tcp AND service_-,packet_rate_medium AND state_fin,0.081858,0.822239,5.083286
outbound_dominance_ratio_medium AND service_http,packet_asymmetry_medium AND proto_tcp,0.027569,0.760182,5.082211
outbound_dominance_ratio_medium AND service_http AND state_fin,packet_asymmetry_medium AND proto_tcp,0.027518,0.759843,5.079939
packet_rate_medium AND proto_tcp AND service_-,bytes_per_packet_medium AND outbound_dominance_ratio_low AND state_fin,0.086363,0.788082,5.06908
bytes_per_packet_medium AND outbound_dominance_ratio_low AND packet_asymmetry_low AND service_-,packet_rate_medium AND proto_tcp AND state_fin,0.081858,0.819375,5.065585
bytes_per_packet_medium AND outbound_dominance_ratio_low AND packet_asymmetry_low AND service_-,packet_rate_medium AND state_fin,0.081858,0.819375,5.065585
packet_asymmetry_medium AND packet_rate_medium AND state_fin,bytes_per_packet_high AND proto_tcp,0.030809,0.724712,5.065239
packet_asymmetry_medium AND state_fin,outbound_dominance_ratio_medium AND proto_tcp,0.117548,0.853069,5.058266
bytes_per_packet_low AND packet_asymmetry_low,outbound_dominance_ratio_low AND packet_rate_low AND proto_tcp,0.073126,0.843775,5.055642
bytes_per_packet_low AND packet_asymmetry_low,outbound_dominance_ratio_low AND packet_rate_low AND state_fin,0.072875,0.840879,5.049163
bytes_per_packet_low AND packet_asymmetry_low,outbound_dominance_ratio_low AND packet_rate_low AND proto_tcp AND state_fin,0.072875,0.840879,5.049163
bytes_per_packet_high AND packet_rate_low AND proto_tcp AND service_-,outbound_dominance_ratio_medium AND state_fin,0.034054,0.791805,5.046191
packet_asymmetry_medium AND packet_rate_high AND proto_unas AND state_int,bytes_per_packet_medium AND outbound_dominance_ratio_medium AND service_-,0.038582,1.0,5.044333
packet_asymmetry_medium AND packet_rate_high AND proto_unas,bytes_per_packet_medium AND outbound_dominance_ratio_medium AND service_-,0.038582,1.0,5.044333
packet_asymmetry_medium AND proto_unas AND state_int,bytes_per_packet_medium AND outbound_dominance_ratio_medium AND service_-,0.068917,1.0,5.044333
packet_asymmetry_medium AND packet_rate_medium AND proto_unas,bytes_per_packet_medium AND outbound_dominance_ratio_medium AND service_-,0.030215,1.0,5.044333
packet_asymmetry_medium AND packet_rate_medium AND proto_unas AND state_int,bytes_per_packet_medium AND outbound_dominance_ratio_medium AND service_-,0.030215,1.0,5.044333
proto_unas,bytes_per_packet_medium AND outbound_dominance_ratio_medium AND service_-,0.068917,1.0,5.044333
packet_rate_medium AND proto_unas AND state_int,bytes_per_packet_medium AND outbound_dominance_ratio_medium AND service_-,0.030215,1.0,5.044333
packet_rate_high AND proto_unas,bytes_per_packet_medium AND outbound_dominance_ratio_medium AND service_-,0.038582,1.0,5.044333
proto_unas AND state_int,bytes_per_packet_medium AND outbound_dominance_ratio_medium AND service_-,0.068917,1.0,5.044333
packet_rate_medium AND proto_unas,bytes_per_packet_medium AND outbound_dominance_ratio_medium AND service_-,0.030215,1.0,5.044333
packet_asymmetry_medium AND proto_unas,bytes_per_packet_medium AND outbound_dominance_ratio_medium AND service_-,0.068917,1.0,5.044333
packet_rate_high AND proto_unas AND state_int,bytes_per_packet_medium AND outbound_dominance_ratio_medium AND service_-,0.038582,1.0,5.044333
bytes_per_packet_low AND service_ftp,outbound_dominance_ratio_low AND packet_asymmetry_low AND packet_rate_low AND proto_tcp,0.012735,0.779679,5.042962
bytes_per_packet_low AND service_ftp AND state_fin,outbound_dominance_ratio_low AND packet_asymmetry_low AND packet_rate_low AND proto_tcp,0.012684,0.778984,5.03847
outbound_dominance_ratio_medium AND packet_rate_low AND service_- AND state_fin,packet_asymmetry_medium AND proto_tcp,0.055606,0.753303,5.036218
bytes_per_packet_low AND proto_tcp AND service_ftp,outbound_dominance_ratio_low AND packet_asymmetry_low AND packet_rate_low AND state_fin,0.012684,0.776536,5.032475
bytes_per_packet_low AND service_ftp,outbound_dominance_ratio_low AND packet_asymmetry_low AND packet_rate_low AND proto_tcp AND state_fin,0.012684,0.776536,5.032475
bytes_per_packet_low AND service_ftp,outbound_dominance_ratio_low AND packet_asymmetry_low AND packet_rate_low AND state_fin,0.012684,0.776536,5.032475
bytes_per_packet_low AND packet_asymmetry_medium AND service_- AND state_fin,outbound_dominance_ratio_medium AND proto_tcp,0.015832,0.847892,5.027571
bytes_per_packet_medium AND outbound_dominance_ratio_low AND packet_asymmetry_low AND service_- AND state_fin,packet_rate_medium AND proto_tcp,0.081858,0.822427,5.027199
packet_rate_medium AND service_dns AND state_con,bytes_per_packet_medium AND outbound_dominance_ratio_low,0.042637,0.999465,5.020548
packet_asymmetry_low AND packet_rate_medium AND proto_udp AND service_dns,bytes_per_packet_medium AND outbound_dominance_ratio_low,0.042637,0.999465,5.020548
packet_rate_medium AND proto_udp AND service_dns AND state_con,bytes_per_packet_medium AND outbound_dominance_ratio_low,0.042637,0.999465,5.020548
packet_asymmetry_low AND packet_rate_medium AND service_dns AND state_con,bytes_per_packet_medium AND outbound_dominance_ratio_low,0.042637,0.999465,5.020548
packet_asymmetry_low AND packet_rate_medium AND proto_udp AND service_dns AND state_con,bytes_per_packet_medium AND outbound_dominance_ratio_low,0.042637,0.999465,5.020548
packet_asymmetry_low AND packet_rate_medium AND service_dns,bytes_per_packet_medium AND outbound_dominance_ratio_low,0.042637,0.999198,5.019206
bytes_per_packet_high AND packet_asymmetry_low AND service_- AND state_con,packet_rate_medium AND proto_udp,0.017526,0.843073,5.018169
packet_asymmetry_low AND proto_udp AND service_dns AND state_con,bytes_per_packet_medium AND outbound_dominance_ratio_low,0.043219,0.998156,5.013971
packet_asymmetry_low AND proto_udp AND service_dns,bytes_per_packet_medium AND outbound_dominance_ratio_low,0.043219,0.998156,5.013971
service_dns AND state_con,bytes_per_packet_medium AND outbound_dominance_ratio_low,0.043219,0.998156,5.013971
proto_udp AND service_dns AND state_con,bytes_per_packet_medium AND outbound_dominance_ratio_low,0.043219,0.998156,5.013971
packet_asymmetry_low AND service_dns AND state_con,bytes_per_packet_medium AND outbound_dominance_ratio_low,0.043219,0.998156,5.013971
bytes_per_packet_high AND packet_asymmetry_low AND state_con,packet_rate_medium AND proto_udp,0.017589,0.841703,5.010016
bytes_per_packet_low AND packet_asymmetry_low AND proto_tcp,outbound_dominance_ratio_low AND packet_rate_low,0.073126,0.851112,5.008552
bytes_per_packet_medium AND outbound_dominance_ratio_low AND packet_asymmetry_low AND service_-,packet_rate_medium AND proto_tcp,0.081858,0.819375,5.008545
outbound_dominance_ratio_medium AND state_fin,packet_asymmetry_medium AND proto_tcp,0.117548,0.749137,5.008365
packet_asymmetry_medium AND proto_tcp,outbound_dominance_ratio_medium AND state_fin,0.117548,0.78587,5.008365
bytes_per_packet_low AND packet_asymmetry_low AND state_fin,outbound_dominance_ratio_low AND packet_rate_low,0.072875,0.850676,5.005985
bytes_per_packet_low AND packet_asymmetry_low AND proto_tcp AND state_fin,outbound_dominance_ratio_low AND packet_rate_low,0.072875,0.850676,5.005985
bytes_per_packet_low AND packet_asymmetry_low,outbound_dominance_ratio_low AND packet_rate_low,0.073577,0.848973,4.995967
bytes_per_packet_low AND packet_asymmetry_medium AND packet_rate_low AND service_- AND state_fin,outbound_dominance_ratio_medium AND proto_tcp,0.014566,0.842348,4.994697
packet_asymmetry_low AND service_dns,bytes_per_packet_medium AND outbound_dominance_ratio_low,0.043219,0.993966,4.992926
bytes_per_packet_low AND proto_tcp AND service_ftp,outbound_dominance_ratio_low AND packet_asymmetry_low AND packet_rate_low,0.012735,0.779679,4.982312
bytes_per_packet_low AND service_ftp,outbound_dominance_ratio_low AND packet_asymmetry_low AND packet_rate_low,0.012735,0.779679,4.982312
