antecedent,consequent,support,confidence,lift
bytes_per_packet_low AND packet_asymmetry_medium AND packet_rate_low AND state_int,proto_arp,0.015792,0.87849,53.877331
proto_arp AND service_-,bytes_per_packet_low AND outbound_dominance_ratio_medium AND packet_rate_low AND state_int,0.015792,0.96852,53.877331
proto_arp AND service_-,bytes_per_packet_low AND packet_asymmetry_medium AND packet_rate_low AND state_int,0.015792,0.96852,53.877331
proto_arp,bytes_per_packet_low AND outbound_dominance_ratio_medium AND packet_asymmetry_medium AND packet_rate_low AND state_int,0.015792,0.96852,53.877331
bytes_per_packet_low AND outbound_dominance_ratio_medium AND packet_asymmetry_medium AND packet_rate_low AND state_int,proto_arp,0.015792,0.87849,53.877331
proto_arp AND service_-,bytes_per_packet_low AND packet_rate_low AND state_int,0.015792,0.96852,53.877331
bytes_per_packet_low AND outbound_dominance_ratio_medium AND packet_rate_low AND state_int,proto_arp AND service_-,0.015792,0.87849,53.877331
bytes_per_packet_low AND packet_asymmetry_medium AND packet_rate_low AND state_int,proto_arp AND service_-,0.015792,0.87849,53.877331
bytes_per_packet_high AND packet_rate_medium AND service_- AND state_con,outbound_dominance_ratio_medium AND packet_asymmetry_low AND proto_udp,0.017514,0.954023,47.22737
outbound_dominance_ratio_medium AND packet_asymmetry_low AND proto_udp,bytes_per_packet_high AND packet_rate_medium AND service_- AND state_con,0.017514,0.867024,47.22737
bytes_per_packet_high AND outbound_dominance_ratio_medium AND packet_asymmetry_low AND proto_udp,packet_rate_medium AND service_- AND state_con,0.017514,0.867024,46.561992
outbound_dominance_ratio_medium AND packet_asymmetry_low AND proto_udp,packet_rate_medium AND service_- AND state_con,0.017514,0.867024,46.561992
packet_rate_medium AND service_- AND state_con,bytes_per_packet_high AND outbound_dominance_ratio_medium AND packet_asymmetry_low AND proto_udp,0.017514,0.940582,46.561992
packet_rate_medium AND service_- AND state_con,outbound_dominance_ratio_medium AND packet_asymmetry_low AND proto_udp,0.017514,0.940582,46.561992
outbound_dominance_ratio_medium AND packet_asymmetry_low AND proto_udp AND service_-,bytes_per_packet_high AND packet_rate_medium AND state_con,0.017514,0.867024,46.377335
bytes_per_packet_high AND packet_rate_medium AND state_con,outbound_dominance_ratio_medium AND packet_asymmetry_low AND proto_udp AND service_-,0.017514,0.936852,46.377335
